invoice_number,invoice_ref,order_number,customer_code,invoice_type,invoice_date,due_date,payment_term_days,currency,exchange_rate,amount,tax_rate,tax_amount,amount_with_tax,amount_idr,paid_amount,status,notes
227.04.12-24,MIG-INV-AMNT-146,MIG-AMNT-146,AMNT,FULL,2024-12-05,2025-01-03,30,IDR,1,21466000000,11,2361260000,23827260000,23827260000,23827260000,PAID,Invoice AN material AMNT
232.06.12-24,MIG-INV-KNI-146,MIG-AMNT-146,KNI,SERVICE,2024-12-11,2025-01-09,30,IDR,1,460237500,11,50626125,510863625,510863625,510863625,PAID,Jasa License Fee AU
252.06.12-24,MIG-INV-OMS-BC-146,MIG-AMNT-146,OMS,BACKCHARGE,2024-12-31,2025-01-29,30,IDR,1,1493760000,11,164313600,1658073600,1658073600,1658073600,PAID,Backcharge RG Des 2024
001.04.01-25,MIG-INV-AMNT-150,MIG-AMNT-150,AMNT,FULL,2025-01-10,2025-01-31,30,IDR,1,28662400000,11,3152864000,31815264000,31815264000,31815264000,PAID,Invoice AN material AMNT
251.06.12-24,MIG-INV-KNI-150,MIG-AMNT-150,KNI,SERVICE,2024-12-31,2025-01-29,30,IDR,1,606112650,11,66672392,672785042,672785042,672785042,PAID,Jasa License Fee AU
026.06.02-25,MIG-INV-OMS-BC-150,MIG-AMNT-150,OMS,BACKCHARGE,2025-02-10,2025-03-11,30,IDR,1,1493760000,11,164313600,1658073600,1658073600,1658073600,PAID,Backcharge RG Jan 2025
013.04.01-25,MIG-INV-AMNT-002,MIG-AMNT-002,AMNT,FULL,2025-01-20,2025-02-10,30,IDR,1,29109600000,11,3202056000,32311656000,32311656000,32311656000,PAID,Invoice AN material AMNT
016.06.01-25,MIG-INV-KNI-002,MIG-AMNT-002,KNI,SERVICE,2025-01-30,2025-02-28,30,IDR,1,616681650,11,67834982,684516632,684516632,684516632,PAID,Jasa License Fee AU
023.06.02-25,MIG-INV-OMS-MIX-002,MIG-AMNT-002,OMS,SERVICE,2025-02-10,2025-03-11,30,IDR,1,290757784,11,31983356,322741140,322741140,322741140,PAID,Mixing Fee Jan 2025
033.04.02-25,MIG-INV-AMNT-021,MIG-AMNT-021,AMNT,FULL,2025-02-21,2025-03-14,30,IDR,1,22682000000,11,2495020000,25177020000,25177020000,25177020000,PAID,Invoice AN material AMNT
036.06.02-25,MIG-INV-KNI-021,MIG-AMNT-021,KNI,SERVICE,2025-02-24,2025-03-25,30,IDR,1,480720000,11,52879200,533599200,533599200,533599200,PAID,Jasa License Fee AU
055.06.03-25,MIG-INV-OMS-MIX-021,MIG-AMNT-021,OMS,SERVICE,2025-03-11,2025-04-09,30,IDR,1,320604842,11,35266533,355871375,355871375,355871375,PAID,Mixing Fee Feb 2025
052.06.03-25,MIG-INV-OMS-BC-021,MIG-AMNT-021,OMS,BACKCHARGE,2025-03-10,2025-04-08,30,IDR,1,1742720000,11,191699200,1934419200,1934419200,1934419200,PAID,Backcharge RG Feb 2025
075.04.03-25,MIG-INV-AMNT-032,MIG-AMNT-032,AMNT,FULL,2025-03-24,2025-04-14,30,IDR,1,22948000000,11,2524280000,25472280000,25472280000,25472280000,PAID,Invoice AN material AMNT
076.06.03-25,MIG-INV-KNI-032,MIG-AMNT-032,KNI,SERVICE,2025-03-26,2025-04-24,30,IDR,1,487860000,11,53664600,541524600,541524600,541524600,PAID,Jasa License Fee AU
097.06.04-25,MIG-INV-OMS-MIX-032,MIG-AMNT-032,OMS,SERVICE,2025-04-25,2025-05-24,30,IDR,1,225356007,11,24789161,250145168,250145168,250145168,PAID,Mixing Fee Mar 2025
081.06.04-25,MIG-INV-OMS-BC-032,MIG-AMNT-032,OMS,BACKCHARGE,2025-04-10,2025-05-09,30,IDR,1,2489600000,11,273856000,2763456000,2763456000,2763456000,PAID,Backcharge RG Mar 2025
084.04.04-25,MIG-INV-AMNT-042,MIG-AMNT-042,AMNT,FULL,2025-04-14,2025-05-05,30,IDR,1,22948000000,11,2524280000,25472280000,25472280000,25472280000,PAID,Invoice AN material AMNT
088.06.04-25,MIG-INV-KNI-042,MIG-AMNT-042,KNI,SERVICE,2025-04-21,2025-05-20,30,IDR,1,487860000,11,53664600,541524600,541524600,541524600,PAID,Jasa License Fee AU
077.04.03-25,MIG-INV-AMNT-058,MIG-AMNT-058,AMNT,FULL,2025-03-28,2025-04-18,30,IDR,1,22682000000,11,2495020000,25177020000,25177020000,25177020000,PAID,Invoice AN material AMNT BAST PINDAD
092.06.04-25,MIG-INV-KNI-058,MIG-AMNT-058,KNI,SERVICE,2025-04-21,2025-05-20,30,IDR,1,480720000,11,52879200,533599200,533599200,533599200,PAID,Jasa License Fee AU
093.04.04-25,MIG-INV-AMNT-060,MIG-AMNT-060,AMNT,FULL,2025-04-22,2025-05-13,30,IDR,1,19473840000,11,2142122400,21615962400,21615962400,21615962400,PAID,Invoice AN material AMNT
096.06.04-25,MIG-INV-KNI-060,MIG-AMNT-060,KNI,SERVICE,2025-04-24,2025-05-23,30,IDR,1,421520400,11,46367244,467887644,467887644,467887644,PAID,Jasa License Fee AU
113.06.05-25,MIG-INV-OMS-MIX-060,MIG-AMNT-060,OMS,SERVICE,2025-05-20,2025-06-18,30,IDR,1,285376309,11,31391394,316767703,316767703,316767703,PAID,Mixing Fee Apr 2025
109.06.05-25,MIG-INV-OMS-BC-060,MIG-AMNT-060,OMS,BACKCHARGE,2025-05-15,2025-06-13,30,IDR,1,2116160000,11,232777600,2348937600,2348937600,2348937600,PAID,Backcharge RG Apr 2025
172.04.07-25,MIG-INV-AMNT-088,MIG-AMNT-088,AMNT,FULL,2025-08-14,2025-09-13,30,IDR,1,22758160000,11,2503397600,25261557600,25261557600,25261557600,PAID,Invoice AN+RG AMNT
173.06.07-25,MIG-INV-KNI-088,MIG-AMNT-088,KNI,SERVICE,2025-07-15,2025-08-14,30,IDR,1,493221300,11,54254343,547475643,547475643,547475643,PAID,Jasa License Fee AU
174.06.07-25,MIG-INV-OMS-MIX-088-MEI,MIG-AMNT-088,OMS,SERVICE,2025-07-16,2025-08-15,30,IDR,1,305623437,11,33618578,339242015,339242015,339242015,PAID,Mixing Fee Mei 2025
175.06.07-25,MIG-INV-OMS-MIX-088-JUN,MIG-AMNT-088,OMS,SERVICE,2025-07-16,2025-08-15,30,IDR,1,293850564,11,32323562,326174126,326174126,326174126,PAID,Mixing Fee Juni 2025
