order_number,product_code,qty,uom,unit_price,unit_price_idr,unit_cost,currency,exchange_rate,line_value,line_type,margin_type,description
MIG-AMNT-146,AN-LD,2000,MT,10733000,10733000,10733000,IDR,1,21466000000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 2000 MT
MIG-AMNT-146,SVC-LICENSE,1,EA,460237500,460237500,0,IDR,1,460237500,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3000480998
MIG-AMNT-146,RG,96000,KG,15560,15560,13360,IDR,1,1493760000,SERVICE_BACKCHARGE,FEE,Backcharge RG Des 2024
MIG-AMNT-150,AN-LD,2600,MT,11024000,11024000,11024000,IDR,1,28662400000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 2600 MT
MIG-AMNT-150,SVC-LICENSE,1,EA,606112650,606112650,0,IDR,1,606112650,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3000521834
MIG-AMNT-150,RG,96000,KG,15560,15560,13360,IDR,1,1493760000,SERVICE_BACKCHARGE,FEE,Backcharge RG Jan 2025
MIG-AMNT-002,AN-LD,2600,MT,11196000,11196000,11196000,IDR,1,29109600000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 2600 MT
MIG-AMNT-002,SVC-LICENSE,1,EA,616681650,616681650,0,IDR,1,616681650,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3000631186
MIG-AMNT-002,SVC-MIXING,1,EA,290757784,290757784,0,IDR,1,290757784,SERVICE_MIXING,FEE,Mixing Fee DAN AMNT Jan 2025
MIG-AMNT-021,AN-LD,2000,MT,11341000,11341000,11341000,IDR,1,22682000000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 2000 MT
MIG-AMNT-021,SVC-LICENSE,1,EA,480720000,480720000,0,IDR,1,480720000,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3000820910
MIG-AMNT-021,SVC-MIXING,1,EA,320604842,320604842,0,IDR,1,320604842,SERVICE_MIXING,FEE,Mixing Fee DAN AMNT Feb 2025
MIG-AMNT-021,RG,112000,KG,15560,15560,13360,IDR,1,1742720000,SERVICE_BACKCHARGE,FEE,Backcharge RG Feb 2025
MIG-AMNT-032,AN-LD,2000,MT,11474000,11474000,11474000,IDR,1,22948000000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 2000 MT
MIG-AMNT-032,SVC-LICENSE,1,EA,487860000,487860000,0,IDR,1,487860000,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3000901050
MIG-AMNT-032,SVC-MIXING,1,EA,225356007,225356007,0,IDR,1,225356007,SERVICE_MIXING,FEE,Mixing Fee DAN AMNT Mar 2025
MIG-AMNT-032,RG,160000,KG,15560,15560,13360,IDR,1,2489600000,SERVICE_BACKCHARGE,FEE,Backcharge RG Mar 2025
MIG-AMNT-042,AN-LD,2000,MT,11474000,11474000,11474000,IDR,1,22948000000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 2000 MT
MIG-AMNT-042,SVC-LICENSE,1,EA,487860000,487860000,0,IDR,1,487860000,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3000963985
MIG-AMNT-058,AN-LD,2000,MT,11341000,11341000,11341000,IDR,1,22682000000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 2000 MT BAST PINDAD
MIG-AMNT-058,SVC-LICENSE,1,EA,480720000,480720000,0,IDR,1,480720000,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3001004290
MIG-AMNT-060,AN-LD,1720,MT,11322000,11322000,11322000,IDR,1,19473840000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 1720 MT
MIG-AMNT-060,SVC-LICENSE,1,EA,421520400,421520400,0,IDR,1,421520400,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3000999616
MIG-AMNT-060,SVC-MIXING,1,EA,285376309,285376309,0,IDR,1,285376309,SERVICE_MIXING,FEE,Mixing Fee DAN AMNT Apr 2025
MIG-AMNT-060,RG,136000,KG,15560,15560,13360,IDR,1,2116160000,SERVICE_BACKCHARGE,FEE,Backcharge RG Apr 2025
MIG-AMNT-088,AN-LD,2000,MT,11099000,11099000,11099000,IDR,1,22198000000,MATERIAL,PASS_THROUGH,Ammonium Nitrate 2000 MT
MIG-AMNT-088,RG,12000,KG,15560,15560,13360,IDR,1,186720000,MATERIAL,FEE,Reactive Ground Mei 2025
MIG-AMNT-088,RG,12000,KG,15560,15560,13360,IDR,1,186720000,MATERIAL,FEE,Reactive Ground Jun 2025
MIG-AMNT-088,RG,12000,KG,15560,15560,13360,IDR,1,186720000,MATERIAL,FEE,Reactive Ground Jul 2025
MIG-AMNT-088,SVC-LICENSE,1,EA,493221300,493221300,0,IDR,1,493221300,SERVICE_LICENSE,FEE,Jasa License Fee AU PO 3001272588
MIG-AMNT-088,SVC-MIXING,1,EA,305623437,305623437,0,IDR,1,305623437,SERVICE_MIXING,FEE,Mixing Fee DAN AMNT Mei 2025
MIG-AMNT-088,SVC-MIXING,1,EA,293850564,293850564,0,IDR,1,293850564,SERVICE_MIXING,FEE,Mixing Fee DAN AMNT Juni 2025
MIG-AMNT-088,SVC-MIXING,1,EA,306810604,306810604,0,IDR,1,306810604,SERVICE_MIXING,FEE,Mixing Fee DAN AMNT Juli 2025
MIG-AMNT-088,RG,172000,KG,15560,15560,13360,IDR,1,2676320000,SERVICE_BACKCHARGE,FEE,Backcharge RG Mei 2025
MIG-AMNT-088,RG,109500,KG,15560,15560,13360,IDR,1,1703820000,SERVICE_BACKCHARGE,FEE,Backcharge RG Jun 2025
MIG-AMNT-088,RG,101000,KG,15560,15560,13360,IDR,1,1571560000,SERVICE_BACKCHARGE,FEE,Backcharge RG Jul 2025
