procurement_number,product_code,qty,uom,unit_price,currency,exchange_rate,line_value,description
MIG-PROC-146-KNI,AN-LD,2000,MT,10733000,IDR,1,21466000000,Ammonium Nitrate 2000 MT
MIG-PROC-146-LT,RG,96000,KG,13360,IDR,1,1282560000,Reactive Ground 96000 KG Des 2024
MIG-PROC-150-KNI,AN-LD,2600,MT,11024000,IDR,1,28662400000,Ammonium Nitrate 2600 MT
MIG-PROC-150-LT,RG,96000,KG,13360,IDR,1,1282560000,Reactive Ground 96000 KG Jan 2025
MIG-PROC-002-KNI,AN-LD,2600,MT,11196000,IDR,1,29109600000,Ammonium Nitrate 2600 MT
MIG-PROC-021-KNI,AN-LD,2000,MT,11341000,IDR,1,22682000000,Ammonium Nitrate 2000 MT
MIG-PROC-021-LT,RG,112000,KG,13360,IDR,1,1496320000,Reactive Ground 112000 KG Feb 2025
MIG-PROC-032-KNI,AN-LD,2000,MT,11474000,IDR,1,22948000000,Ammonium Nitrate 2000 MT
MIG-PROC-032-LT,RG,160000,KG,13360,IDR,1,2137600000,Reactive Ground 160000 KG Mar 2025
MIG-PROC-042-KNI,AN-LD,2000,MT,11474000,IDR,1,22948000000,Ammonium Nitrate 2000 MT
MIG-PROC-058-KNI,AN-LD,2000,MT,11341000,IDR,1,22682000000,Ammonium Nitrate 2000 MT
MIG-PROC-060-KNI,AN-LD,1720,MT,11322000,IDR,1,19473840000,Ammonium Nitrate 1720 MT
MIG-PROC-060-LT,RG,136000,KG,13360,IDR,1,1816960000,Reactive Ground 136000 KG Apr 2025
MIG-PROC-088-KNI,AN-LD,2000,MT,11099000,IDR,1,22198000000,Ammonium Nitrate 2000 MT
MIG-PROC-088-LT-MEI,RG,184000,KG,13360,IDR,1,2458240000,Reactive Ground 184000 KG Mei 2025
MIG-PROC-088-LT-JUN,RG,121500,KG,13360,IDR,1,1623240000,Reactive Ground 121500 KG Jun 2025
MIG-PROC-088-LT-JUL,RG,113000,KG,13360,IDR,1,1509680000,Reactive Ground 113000 KG Jul 2025
