procurement_number,order_number,vendor_code,vendor_po,reference_date,currency,material_cost,status,remarks
MIG-PROC-146-KNI,MIG-AMNT-146,KNI,PO-116.01.11.24,2024-11-08,IDR,21466000000,VERIFIED,KNI AN PO 90990225
MIG-PROC-146-LT,MIG-AMNT-146,LT,PO-089.05.12.24,2024-12-31,IDR,1282560000,VERIFIED,LT RG Des 2024
MIG-PROC-150-KNI,MIG-AMNT-150,KNI,PO-120.01.11.24,2024-11-29,IDR,28662400000,VERIFIED,KNI AN PO 90999824
MIG-PROC-150-LT,MIG-AMNT-150,LT,PO-089.05.12.24,2024-12-31,IDR,1282560000,VERIFIED,LT RG Jan 2025
MIG-PROC-002-KNI,MIG-AMNT-002,KNI,PO-001.01.01.25,2024-12-26,IDR,29109600000,VERIFIED,KNI AN PO 91005485
MIG-PROC-021-KNI,MIG-AMNT-021,KNI,PO-018.01.02.25,2025-01-28,IDR,22682000000,VERIFIED,KNI AN PO 91026945
MIG-PROC-021-LT,MIG-AMNT-021,LT,PO-089.05.12.24,2025-02-28,IDR,1496320000,VERIFIED,LT RG Feb 2025
MIG-PROC-032-KNI,MIG-AMNT-032,KNI,PO-027.01.03.25,2025-02-21,IDR,22948000000,VERIFIED,KNI AN PO 91044334
MIG-PROC-032-LT,MIG-AMNT-032,LT,PO-089.05.12.24,2025-03-31,IDR,2137600000,VERIFIED,LT RG Mar 2025
MIG-PROC-042-KNI,MIG-AMNT-042,KNI,PO-036.01.03.25,2025-03-11,IDR,22948000000,VERIFIED,KNI AN PO 91058429
MIG-PROC-058-KNI,MIG-AMNT-058,KNI,PO-042.01.03.25,2025-03-27,IDR,22682000000,VERIFIED,KNI AN PO 91048723
MIG-PROC-060-KNI,MIG-AMNT-060,KNI,PO-055.01.04.25,2025-03-25,IDR,19473840000,VERIFIED,KNI AN PO 91062692
MIG-PROC-060-LT,MIG-AMNT-060,LT,PO-015.05.03.24,2025-04-30,IDR,1816960000,VERIFIED,LT RG Apr 2025
MIG-PROC-088-KNI,MIG-AMNT-088,KNI,PO-089.01.07.25,2025-06-26,IDR,22198000000,VERIFIED,KNI AN PO 91116001
MIG-PROC-088-LT-MEI,MIG-AMNT-088,LT,PO-015.05.03.24,2025-05-31,IDR,2458240000,VERIFIED,LT RG Mei 2025
MIG-PROC-088-LT-JUN,MIG-AMNT-088,LT,PO-015.05.03.24 + PO-039.05.06.24,2025-06-30,IDR,1623240000,VERIFIED,LT RG Jun 2025
MIG-PROC-088-LT-JUL,MIG-AMNT-088,LT,PO-039.05.06.24,2025-07-31,IDR,1509680000,VERIFIED,LT RG Jul 2025
