code,name,category,uom,description
AN-LD,Ammonium Nitrate LD,EXPLOSIVE,MT,Ammonium Nitrate Low Density
AN-HD,Ammonium Nitrate HD,EXPLOSIVE,MT,Ammonium Nitrate High Density
ANFO,ANFO,EXPLOSIVE,MT,ANFO
ANFO-25,ANFO @25Kg,EXPLOSIVE,MT,
BOOSTER-150,Booster @150gr,ACCESSORY,PCS,
BOOSTER-200,Booster @200gr,ACCESSORY,PCS,
BOOSTER-400,Booster @400gr,ACCESSORY,PCS,
IHD-9M-500,IHD 9M 500MS,DETONATOR,PCS,
IHD-9M-6500,IHD 9M 6500MS,DETONATOR,PCS,
IHD-12M-500,IHD 12M 500MS,DETONATOR,PCS,
IHD-15M-500,IHD 15M 500MS,DETONATOR,PCS,
IHD-18M-500,IHD 18M 500MS,DETONATOR,PCS,
SFD-12M-17,SFD 12M 17MS,DETONATOR,PCS,
SFD-12M-25,SFD 12M 25MS,DETONATOR,PCS,
SFD-12M-42,SFD 12M 42MS,DETONATOR,PCS,
SFD-12M-65,SFD 12M 65MS,DETONATOR,PCS,
SFD-12M-100,SFD 12M 100MS,DETONATOR,PCS,
SFD-12M-109,SFD 12M 109MS,DETONATOR,PCS,
SFD-12M-175,SFD 12M 175MS,DETONATOR,PCS,
UT-600-10M,Uni Tronic 600 RX 10M,DETONATOR,PCS,
UT-600-15M,Uni Tronic 600 RX 15M,DETONATOR,PCS,
LIL-500,Lead In Line 500M,ACCESSORY,ROLL,
ELD-4.5M,Eldeto LW 4.5M,DETONATOR,PCS,
ELD-6M,Eldeto LW 6M,DETONATOR,PCS,
DINAMIT-200,Dinamite @200gr,EXPLOSIVE,KG,
RG,Reactive Ground,EXPLOSIVE,MT,
EXEL-2800,Exel Connectaline 2.800M,ACCESSORY,ROLL,
HW-400,Harness Wire @400m,ACCESSORY,ROLL,
SOLAR,Solar,FUEL,L,
SVC-LICENSE,Service License Fee,SERVICE,EA,Service fee (non-inventory)
SVC-MIXING,Service Mixing Fee,SERVICE,EA,Service fee (non-inventory)
SVC-BACKCHARGE,Service Backcharge,SERVICE,EA,Service backcharge (non-inventory)
