code,name,customer_code,address,province,city,business_model,site_status
AMNT-TMCT,TMCT (Gudang Transit),AMNT,,,,,
AMNT-JMB,JMB,AMNT,,,,,
AMNT-KRA,KRA,AMNT,,,,,
AMNT-ABE,ABE,AMNT,,,,,
AMNT-BRCB,BRCB,AMNT,,,,,
AMNT-BRCG,BRCG,AMNT,,,,,
KNI-MAIN,KNI Main,KNI,,,,,
OMS-MAIN,OMS Main,OMS,,,,,
KPP-INDEXIM-MAIN,KPP Indexim - Main,KPP-INDEXIM,,,,,
PAMA-BAYA-JMB,PAMA Baya - JMB,PAMA-BAYA,,,,,
PAMA-BAYA-KRA,PAMA Baya - KRA,PAMA-BAYA,,,,,
PAMA-BAYA-ABE,PAMA Baya - ABE,PAMA-BAYA,,,,,
PAMA-BERAU-BRCB,PAMA Berau - BRCB,PAMA-BERAU,,,,,
PAMA-BERAU-BRCG,PAMA Berau - BRCG,PAMA-BERAU,,,,,
PETROSEA-KSM,Petrosea KSM,PETROSEA,,,,,
KIDECO-TMCT,Kideco - TMCT,KIDECO,,,,,
KIDECO-KM35,Kideco - KM35,KIDECO,,,,,
SSM-MAIN,SSM Main,SSM,,,,,
SCG-TSS-MAIN,TSS Main,SCG-TSS,,,,,
BBP-MAIN,BBP Main,BBP,,,,,
MRIA-MAIN,MRIA Main,MRIA,,,,,
ABA-MAIN,ABA Main,ABA,,,,,
BMN-MAIN,BMN Main,BMN,,,,,
BEH-MAIN,BEH Main,BEH,,,,,
DPW-MAIN,DPW Main,DPW,,,,,
GMJI-MAIN,GMJI Main,GMJI,,,,,
IBP-MAIN,IBP Main,IBP,,,,,
PMB-MAIN,PMB Main,PMB,,,,,
